Date,Open,High,Low,Close,Adj  Close,Volume 
2017-11-15 21:59:59,7.235e-05,0.004999,7.105e-05,8.2e-05,8.2e-05,1868170.0
2017-11-16 21:59:59,8.2e-05,8.599e-05,4.516e-05,5.269e-05,5.269e-05,941758.0
2017-11-17 21:59:59,5.445e-05,5.967e-05,3.976e-05,4.803e-05,4.803e-05,274237.0
2017-11-18 21:59:59,4.83e-05,6.927e-05,3.936e-05,6.799e-05,6.799e-05,1159043.0
2017-11-19 21:59:59,6.799e-05,6.987e-05,5.1e-05,5.363e-05,5.363e-05,1195559.0
2017-11-20 21:59:59,5.371e-05,5.594e-05,4.075e-05,4.351e-05,4.351e-05,819676.0
2017-11-21 21:59:59,4.353e-05,5.599e-05,4.253e-05,4.9e-05,4.9e-05,708112.0
2017-11-22 21:59:59,4.93e-05,6.8e-05,4.678e-05,6.155e-05,6.155e-05,2846046.0
2017-11-23 21:59:59,6.141e-05,6.333e-05,4.831e-05,5.136e-05,5.136e-05,1666918.0
2017-11-24 21:59:59,5.136e-05,5.284e-05,3.434e-05,4.797e-05,4.797e-05,1628310.0
2017-11-25 21:59:59,4.802e-05,6.35e-05,4.1e-05,5.625e-05,5.625e-05,3355499.0
2017-11-26 21:59:59,5.599e-05,7.6e-05,5.2e-05,6.35e-05,6.35e-05,6378099.0
2017-11-27 21:59:59,6.352e-05,6.924e-05,4.672e-05,5.163e-05,5.163e-05,8233109.0
2017-11-28 21:59:59,5.313e-05,5.43e-05,4.4e-05,4.501e-05,4.501e-05,8975539.0
2017-11-29 21:59:59,4.5e-05,5.568e-05,4.169e-05,4.422e-05,4.422e-05,26132027.0
2017-11-30 21:59:59,4.37e-05,4.838e-05,3.851e-05,4.28e-05,4.28e-05,5633752.0
2017-12-01 21:59:59,4.281e-05,4.328e-05,3.783e-05,3.973e-05,3.973e-05,5000554.0
2017-12-02 21:59:59,3.972e-05,3.991e-05,3.266e-05,3.581e-05,3.581e-05,5306770.0
2017-12-03 21:59:59,3.548e-05,3.899e-05,3.15e-05,3.296e-05,3.296e-05,4704310.0
2017-12-04 21:59:59,3.266e-05,3.592e-05,2.521e-05,3.252e-05,3.252e-05,4503919.0
2017-12-05 21:59:59,3.247e-05,4.332e-05,3.143e-05,3.813e-05,3.813e-05,9600310.0
2017-12-06 21:59:59,3.863e-05,4.154e-05,2.458e-05,2.845e-05,2.845e-05,8501864.0
2017-12-07 21:59:59,2.858e-05,3.15e-05,1.781e-05,1.921e-05,1.921e-05,9292317.0
2017-12-08 21:59:59,1.921e-05,2.536e-05,1.682e-05,2.131e-05,2.131e-05,8693054.0
2017-12-09 21:59:59,2.134e-05,2.685e-05,2.125e-05,2.582e-05,2.582e-05,5734791.0
2017-12-10 21:59:59,2.582e-05,2.599e-05,1.879e-05,2.019e-05,2.019e-05,6439228.0
2017-12-11 21:59:59,2.021e-05,2.114e-05,1.788e-05,1.957e-05,1.957e-05,5902400.0
2017-12-12 21:59:59,1.978e-05,1.999e-05,1.601e-05,1.834e-05,1.834e-05,6932384.0
2017-12-13 21:59:59,1.834e-05,1.886e-05,1.603e-05,1.785e-05,1.785e-05,5763861.0
2017-12-14 21:59:59,1.783e-05,1.949e-05,1.656e-05,1.785e-05,1.785e-05,6788537.0
2017-12-15 21:59:59,1.777e-05,1.881e-05,1.671e-05,1.853e-05,1.853e-05,6277134.0
2017-12-16 21:59:59,1.866e-05,2.44e-05,1.758e-05,2.167e-05,2.167e-05,6081133.0
2017-12-17 21:59:59,2.17e-05,5.9e-05,2.088e-05,3.846e-05,3.846e-05,25514104.0
2017-12-18 21:59:59,3.854e-05,6.766e-05,3.6e-05,5.55e-05,5.55e-05,24952418.0
2017-12-19 21:59:59,5.55e-05,5.97e-05,4.358e-05,4.461e-05,4.461e-05,10740150.0
2017-12-20 21:59:59,4.466e-05,4.554e-05,3.801e-05,4.186e-05,4.186e-05,6077076.0
2017-12-21 21:59:59,4.202e-05,4.91e-05,3.995e-05,4.263e-05,4.263e-05,7571336.0
2017-12-22 21:59:59,4.294e-05,4.425e-05,3.342e-05,3.84e-05,3.84e-05,8494183.0
2017-12-23 21:59:59,3.831e-05,6.659e-05,3.787e-05,5.184e-05,5.184e-05,10722526.0
2017-12-24 21:59:59,5.184e-05,8.808e-05,4.71e-05,7.194e-05,7.194e-05,17319354.0
2017-12-25 21:59:59,7.194e-05,8.499e-05,5.806e-05,5.823e-05,5.823e-05,9243880.0
2017-12-26 21:59:59,5.819e-05,6.312e-05,4.631e-05,5.333e-05,5.333e-05,5891042.0
2017-12-27 21:59:59,5.325e-05,7e-05,4.84e-05,5.633e-05,5.633e-05,7523453.0
2017-12-28 21:59:59,5.666e-05,5.995e-05,5.02e-05,5.399e-05,5.399e-05,1561700.0
2017-12-29 21:59:59,5.399e-05,5.889e-05,5.305e-05,5.557e-05,5.557e-05,1635271.0
2017-12-30 21:59:59,5.557e-05,5.699e-05,5.155e-05,5.435e-05,5.435e-05,1445392.0
2017-12-31 21:59:59,5.495e-05,6.5e-05,5.406e-05,5.75e-05,5.75e-05,1643815.0
2018-01-01 21:59:59,5.765e-05,7.641e-05,5.591e-05,7.321e-05,7.321e-05,2022747.0
2018-01-02 21:59:59,7.321e-05,7.937e-05,5.752e-05,6.627e-05,6.627e-05,2320841.0
2018-01-03 21:59:59,6.627e-05,8.799e-05,6.137e-05,7.839e-05,7.839e-05,2992689.0
2018-01-04 21:59:59,7.843e-05,0.00011479,7.001e-05,9.757e-05,9.757e-05,3288407.0
2018-01-05 21:59:59,9.757e-05,0.00063222,9.64e-05,0.0005009,0.0005009,65203308.0
2018-01-06 21:59:59,0.0005009,0.000523,0.0002705,0.00030199,0.00030199,21533803.0
2018-01-07 21:59:59,0.00030198,0.00036721,0.00026212,0.000272,0.000272,6049902.0
2018-01-08 21:59:59,0.00027207,0.00029499,0.00023462,0.00026777,0.00026777,5486188.0
2018-01-09 21:59:59,0.00026782,0.0004694,0.000265,0.00033797,0.00033797,18551508.0
2018-01-10 21:59:59,0.00033847,0.00035972,0.00027808,0.00030971,0.00030971,5016427.0
2018-01-11 21:59:59,0.00030971,0.00037364,0.00028541,0.00032018,0.00032018,4143174.0
2018-01-12 21:59:59,0.00032343,0.0003614,0.0003021,0.00033838,0.00033838,2591306.0
2018-01-13 21:59:59,0.00033838,0.00034783,0.0001601,0.00029887,0.00029887,2465278.0
2018-01-14 21:59:59,0.00029844,0.00030429,0.00025001,0.0002665,0.0002665,1652351.0
2018-01-15 21:59:59,0.0002665,0.00026743,0.00018571,0.00020597,0.00020597,2594454.0
2018-01-16 21:59:59,0.00020306,0.00034362,0.0001453,0.00024504,0.00024504,14896073.0
2018-01-17 21:59:59,0.00024506,0.00029398,0.000215,0.00024528,0.00024528,8471385.0
2018-01-18 21:59:59,0.000246,0.0002849,0.00024,0.00024852,0.00024852,3226782.0
2018-01-19 21:59:59,0.00025053,0.00030484,0.00024253,0.00029103,0.00029103,2895980.0
2018-01-20 21:59:59,0.00029103,0.000326,0.00026209,0.00026737,0.00026737,3513611.0
2018-01-21 21:59:59,0.00026736,0.00027005,0.00024561,0.00026198,0.00026198,1544929.0
