Date,Open,High,Low,Close,Adj  Close,Volume 
2017-10-27 21:59:59,5.6e-06,5.6e-05,5.01e-06,8.46e-06,8.46e-06,29123039.0
2017-10-28 21:59:59,8.48e-06,8.94e-06,7.7e-06,7.82e-06,7.82e-06,6272473.0
2017-10-29 21:59:59,8e-06,8.91e-06,7.02e-06,7.11e-06,7.11e-06,7534662.0
2017-10-30 21:59:59,7.12e-06,7.9e-06,7e-06,7.09e-06,7.09e-06,6180139.0
2017-10-31 21:59:59,7.11e-06,7.33e-06,5.76e-06,6.05e-06,6.05e-06,6197127.0
2017-11-01 21:59:59,6.01e-06,6.58e-06,5.25e-06,5.25e-06,5.25e-06,7318886.0
2017-11-02 21:59:59,5.21e-06,5.21e-06,4.23e-06,4.62e-06,4.62e-06,7746104.0
2017-11-03 21:59:59,4.78e-06,6.86e-06,4.73e-06,6.04e-06,6.04e-06,11179471.0
2017-11-04 21:59:59,6.2e-06,6.43e-06,5.39e-06,5.39e-06,5.39e-06,3728288.0
2017-11-05 21:59:59,5.43e-06,6.24e-06,5.42e-06,5.98e-06,5.98e-06,3644179.0
2017-11-06 21:59:59,5.98e-06,7.04e-06,5.56e-06,6.8e-06,6.8e-06,6924975.0
2017-11-07 21:59:59,6.8e-06,8.1e-06,6.4e-06,7.32e-06,7.32e-06,18107540.0
2017-11-08 21:59:59,7.23e-06,8.33e-06,6.7e-06,7.52e-06,7.52e-06,15160616.0
2017-11-09 21:59:59,7.6e-06,1.053e-05,7.52e-06,9.48e-06,9.48e-06,22082043.0
2017-11-10 21:59:59,9.47e-06,9.79e-06,7.4e-06,8.7e-06,8.7e-06,16487136.0
2017-11-11 21:59:59,8.79e-06,8.95e-06,8.21e-06,8.62e-06,8.62e-06,6768337.0
2017-11-12 21:59:59,8.94e-06,8.98e-06,6.89e-06,8.05e-06,8.05e-06,20773552.0
2017-11-13 21:59:59,8.05e-06,9e-06,7.5e-06,8.87e-06,8.87e-06,8003441.0
2017-11-14 21:59:59,8.87e-06,9.18e-06,8.06e-06,8.53e-06,8.53e-06,8722901.0
2017-11-15 21:59:59,8.41e-06,8.69e-06,7.4e-06,7.71e-06,7.71e-06,7488988.0
2017-11-16 21:59:59,7.71e-06,8.04e-06,6.26e-06,6.47e-06,6.47e-06,8129983.0
2017-11-17 21:59:59,6.5e-06,6.7e-06,5.67e-06,5.99e-06,5.99e-06,6348889.0
2017-11-18 21:59:59,5.98e-06,6.49e-06,5.56e-06,6.05e-06,6.05e-06,7387018.0
2017-11-19 21:59:59,6.04e-06,6.8e-06,5.82e-06,6.3e-06,6.3e-06,4993158.0
2017-11-20 21:59:59,6.3e-06,7.2e-06,5.95e-06,6.08e-06,6.08e-06,10065112.0
2017-11-21 21:59:59,6.02e-06,6.55e-06,5.65e-06,5.65e-06,5.65e-06,8515163.0
2017-11-22 21:59:59,5.88e-06,7.1e-06,5.58e-06,6.79e-06,6.79e-06,14073075.0
2017-11-23 21:59:59,6.79e-06,9.86e-06,6.44e-06,9e-06,9e-06,47859130.0
2017-11-24 21:59:59,8.94e-06,9.16e-06,7.24e-06,8.79e-06,8.79e-06,35437781.0
2017-11-25 21:59:59,8.8e-06,8.9e-06,7.33e-06,7.47e-06,7.47e-06,13771581.0
2017-11-26 21:59:59,7.47e-06,7.65e-06,6.63e-06,7.1e-06,7.1e-06,12545798.0
2017-11-27 21:59:59,6.97e-06,7.86e-06,6.7e-06,7.09e-06,7.09e-06,28981888.0
2017-11-28 21:59:59,7.07e-06,7.7e-06,6.7e-06,7.13e-06,7.13e-06,37704104.0
2017-11-29 21:59:59,7.19e-06,7.56e-06,6.06e-06,6.2e-06,6.2e-06,37701647.0
2017-11-30 21:59:59,6.21e-06,6.62e-06,6.01e-06,6.44e-06,6.44e-06,30704013.0
2017-12-01 21:59:59,6.4e-06,6.56e-06,5.76e-06,5.89e-06,5.89e-06,28245974.0
2017-12-02 21:59:59,5.89e-06,6.28e-06,5.71e-06,6.17e-06,6.17e-06,23724858.0
2017-12-03 21:59:59,6.17e-06,7e-06,6e-06,6.92e-06,6.92e-06,31499600.0
2017-12-04 21:59:59,6.93e-06,8.55e-06,6.72e-06,8.32e-06,8.32e-06,48926261.0
2017-12-05 21:59:59,8.34e-06,1.082e-05,8.17e-06,8.76e-06,8.76e-06,91160388.0
2017-12-06 21:59:59,8.8e-06,9.09e-06,6.5e-06,7.4e-06,7.4e-06,60421275.0
2017-12-07 21:59:59,7.4e-06,9.09e-06,6.63e-06,7.11e-06,7.11e-06,73716848.0
2017-12-08 21:59:59,7.13e-06,8e-06,5.92e-06,6.86e-06,6.86e-06,66771358.0
2017-12-09 21:59:59,6.84e-06,8.5e-06,6.81e-06,8.36e-06,8.36e-06,49933135.0
