Date,Open,High,Low,Close,Adj  Close,Volume 
2017-12-15 04:59:59,2.55e-06,5.7e-06,2.55e-06,3.03e-06,3.03e-06,8463543.0
2017-12-15 05:59:59,3e-06,5.78e-06,2.8e-06,4e-06,4e-06,28611608.0
2017-12-15 06:59:59,4e-06,4.3e-06,3.4e-06,3.45e-06,3.45e-06,21553758.0
2017-12-15 07:59:59,3.45e-06,3.7e-06,3.1e-06,3.1e-06,3.1e-06,9056580.0
2017-12-15 08:59:59,3.1e-06,3.5e-06,2.91e-06,3.15e-06,3.15e-06,4850441.0
2017-12-15 09:59:59,3.15e-06,3.44e-06,3.05e-06,3.09e-06,3.09e-06,3546354.0
2017-12-15 10:59:59,3.11e-06,3.3e-06,3e-06,3.3e-06,3.3e-06,3414194.0
2017-12-15 11:59:59,3.3e-06,4.15e-06,3.28e-06,3.55e-06,3.55e-06,15519704.0
2017-12-15 12:59:59,3.56e-06,3.99e-06,3.55e-06,3.77e-06,3.77e-06,9853615.0
2017-12-15 13:59:59,3.77e-06,4.22e-06,3.74e-06,4.01e-06,4.01e-06,20449898.0
2017-12-15 14:59:59,4.07e-06,5.5e-06,3.85e-06,5.1e-06,5.1e-06,34136875.0
2017-12-15 15:59:59,5.1e-06,5.28e-06,4.44e-06,4.77e-06,4.77e-06,15797061.0
2017-12-15 16:59:59,4.77e-06,4.77e-06,4.17e-06,4.5e-06,4.5e-06,7643158.0
2017-12-15 17:59:59,4.49e-06,4.55e-06,4.03e-06,4.39e-06,4.39e-06,3781911.0
2017-12-15 18:59:59,4.33e-06,4.5e-06,4.15e-06,4.35e-06,4.35e-06,1742793.0
2017-12-15 19:59:59,4.37e-06,4.99e-06,4.33e-06,4.91e-06,4.91e-06,5145706.0
2017-12-15 20:59:59,4.91e-06,4.93e-06,4.4e-06,4.7e-06,4.7e-06,4750584.0
2017-12-15 21:59:59,4.69e-06,5.65e-06,4.61e-06,5.54e-06,5.54e-06,17913351.0
2017-12-15 22:59:59,5.55e-06,6.65e-06,5.15e-06,5.5e-06,5.5e-06,40318786.0
2017-12-15 23:59:59,5.5e-06,5.87e-06,4.99e-06,5.24e-06,5.24e-06,21436166.0
2017-12-16 00:59:59,5.2e-06,5.26e-06,4.55e-06,5e-06,5e-06,16612414.0
2017-12-16 01:59:59,5e-06,5.4e-06,4.91e-06,5.31e-06,5.31e-06,9036764.0
2017-12-16 02:59:59,5.29e-06,5.88e-06,5.17e-06,5.33e-06,5.33e-06,21020990.0
2017-12-16 03:59:59,5.34e-06,5.38e-06,4.96e-06,5.2e-06,5.2e-06,10762808.0
2017-12-16 04:59:59,5.19e-06,5.25e-06,4.76e-06,4.91e-06,4.91e-06,8573351.0
2017-12-16 05:59:59,4.92e-06,4.95e-06,4.51e-06,4.73e-06,4.73e-06,11632328.0
2017-12-16 06:59:59,4.73e-06,5e-06,4.59e-06,4.9e-06,4.9e-06,6562817.0
2017-12-16 07:59:59,4.9e-06,4.95e-06,4.56e-06,4.58e-06,4.58e-06,6918922.0
2017-12-16 08:59:59,4.59e-06,4.78e-06,4.4e-06,4.75e-06,4.75e-06,8650950.0
2017-12-16 09:59:59,4.77e-06,4.8e-06,4.4e-06,4.5e-06,4.5e-06,6287990.0
2017-12-16 10:59:59,4.5e-06,5.09e-06,4.5e-06,4.96e-06,4.96e-06,6606846.0
2017-12-16 11:59:59,4.91e-06,5e-06,4.31e-06,4.57e-06,4.57e-06,9769782.0
2017-12-16 12:59:59,4.57e-06,4.6e-06,4.21e-06,4.27e-06,4.27e-06,5260306.0
2017-12-16 13:59:59,4.27e-06,4.47e-06,4.2e-06,4.25e-06,4.25e-06,4929901.0
2017-12-16 14:59:59,4.25e-06,4.5e-06,4.06e-06,4.35e-06,4.35e-06,4164247.0
2017-12-16 15:59:59,4.35e-06,4.45e-06,4.25e-06,4.27e-06,4.27e-06,2910540.0
2017-12-16 16:59:59,4.26e-06,4.35e-06,4.13e-06,4.27e-06,4.27e-06,3468389.0
2017-12-16 17:59:59,4.27e-06,4.31e-06,3.8e-06,4.29e-06,4.29e-06,3124360.0
2017-12-16 18:59:59,4.3e-06,4.4e-06,3.7e-06,4.02e-06,4.02e-06,1225070.0
2017-12-16 19:59:59,4.03e-06,4.56e-06,3.89e-06,4.03e-06,4.03e-06,1710794.0
2017-12-16 20:59:59,4.01e-06,4.36e-06,4e-06,4.1e-06,4.1e-06,1919812.0
2017-12-16 21:59:59,4.12e-06,4.24e-06,3.7e-06,4.03e-06,4.03e-06,3456010.0
2017-12-16 22:59:59,4.03e-06,4.55e-06,4.03e-06,4.3e-06,4.3e-06,5336864.0
