Date,Open,High,Low,Close,Adj  Close,Volume 
2017-12-15 04:29:59,2.55e-06,2.55e-06,2.55e-06,2.55e-06,2.55e-06,1022.0
2017-12-15 04:59:59,5.7e-06,5.7e-06,2.91e-06,3.03e-06,3.03e-06,8462521.0
2017-12-15 05:29:59,3e-06,3.79e-06,2.8e-06,3.7e-06,3.7e-06,9603732.0
2017-12-15 05:59:59,3.7e-06,5.78e-06,3.38e-06,4e-06,4e-06,19007876.0
2017-12-15 06:29:59,4e-06,4.3e-06,3.6e-06,3.8e-06,3.8e-06,14045093.0
2017-12-15 06:59:59,3.8e-06,3.8e-06,3.4e-06,3.45e-06,3.45e-06,7508665.0
2017-12-15 07:29:59,3.45e-06,3.7e-06,3.23e-06,3.3e-06,3.3e-06,5641040.0
2017-12-15 07:59:59,3.31e-06,3.49e-06,3.1e-06,3.1e-06,3.1e-06,3415540.0
2017-12-15 08:29:59,3.1e-06,3.2e-06,3e-06,3.03e-06,3.03e-06,2098092.0
2017-12-15 08:59:59,3.16e-06,3.5e-06,2.91e-06,3.15e-06,3.15e-06,2752349.0
2017-12-15 09:29:59,3.15e-06,3.44e-06,3.13e-06,3.38e-06,3.38e-06,1930466.0
2017-12-15 09:59:59,3.38e-06,3.39e-06,3.05e-06,3.09e-06,3.09e-06,1615888.0
2017-12-15 10:29:59,3.11e-06,3.2e-06,3.06e-06,3.14e-06,3.14e-06,1458708.0
2017-12-15 10:59:59,3.14e-06,3.3e-06,3e-06,3.3e-06,3.3e-06,1955486.0
2017-12-15 11:29:59,3.3e-06,4.15e-06,3.28e-06,3.83e-06,3.83e-06,10066181.0
2017-12-15 11:59:59,3.83e-06,3.88e-06,3.5e-06,3.55e-06,3.55e-06,5453523.0
2017-12-15 12:29:59,3.56e-06,3.76e-06,3.55e-06,3.69e-06,3.69e-06,4860675.0
2017-12-15 12:59:59,3.69e-06,3.99e-06,3.65e-06,3.77e-06,3.77e-06,4992940.0
2017-12-15 13:29:59,3.77e-06,4.22e-06,3.74e-06,4e-06,4e-06,12499264.0
2017-12-15 13:59:59,3.99e-06,4.16e-06,3.83e-06,4.01e-06,4.01e-06,7950634.0
2017-12-15 14:29:59,4.07e-06,4.37e-06,3.85e-06,4.37e-06,4.37e-06,7993979.0
2017-12-15 14:59:59,4.37e-06,5.5e-06,4.26e-06,5.1e-06,5.1e-06,26142896.0
2017-12-15 15:29:59,5.1e-06,5.28e-06,4.44e-06,4.64e-06,4.64e-06,10570437.0
2017-12-15 15:59:59,4.64e-06,4.93e-06,4.61e-06,4.77e-06,4.77e-06,5226624.0
2017-12-15 16:29:59,4.77e-06,4.77e-06,4.17e-06,4.25e-06,4.25e-06,3484250.0
2017-12-15 16:59:59,4.25e-06,4.72e-06,4.25e-06,4.5e-06,4.5e-06,4158908.0
2017-12-15 17:29:59,4.49e-06,4.55e-06,4.21e-06,4.37e-06,4.37e-06,1489236.0
2017-12-15 17:59:59,4.36e-06,4.49e-06,4.03e-06,4.39e-06,4.39e-06,2292675.0
2017-12-15 18:29:59,4.33e-06,4.41e-06,4.15e-06,4.34e-06,4.34e-06,1002580.0
2017-12-15 18:59:59,4.36e-06,4.5e-06,4.3e-06,4.35e-06,4.35e-06,740213.0
2017-12-15 19:29:59,4.37e-06,4.75e-06,4.33e-06,4.73e-06,4.73e-06,1753380.0
2017-12-15 19:59:59,4.73e-06,4.99e-06,4.51e-06,4.91e-06,4.91e-06,3392326.0
2017-12-15 20:29:59,4.91e-06,4.93e-06,4.5e-06,4.56e-06,4.56e-06,2268441.0
2017-12-15 20:59:59,4.56e-06,4.75e-06,4.4e-06,4.7e-06,4.7e-06,2482143.0
