Date,Open,High,Low,Close,Adj  Close,Volume 
2018-01-24 04:59:59,0.00023025,0.00023025,5.1e-06,6.64e-06,6.64e-06,360876653.0
2018-01-24 05:59:59,6.64e-06,7.08e-06,6.21e-06,6.69e-06,6.69e-06,174683484.0
2018-01-24 06:59:59,6.69e-06,6.7e-06,6.35e-06,6.58e-06,6.58e-06,84418052.0
2018-01-24 07:59:59,6.6e-06,6.66e-06,6.39e-06,6.4e-06,6.4e-06,49662741.0
2018-01-24 08:59:59,6.4e-06,6.41e-06,6.11e-06,6.32e-06,6.32e-06,49907883.0
2018-01-24 09:59:59,6.32e-06,6.62e-06,6.31e-06,6.61e-06,6.61e-06,43266421.0
2018-01-24 10:59:59,6.61e-06,7.8e-06,6.6e-06,7.65e-06,7.65e-06,204093028.0
2018-01-24 11:59:59,7.65e-06,9.35e-06,7.62e-06,8.07e-06,8.07e-06,401719625.0
2018-01-24 12:59:59,8.07e-06,8.61e-06,7.38e-06,7.43e-06,7.43e-06,153471295.0
2018-01-24 13:59:59,7.41e-06,8.37e-06,7.16e-06,8.07e-06,8.07e-06,157731899.0
2018-01-24 14:59:59,8.06e-06,8.26e-06,7.75e-06,7.89e-06,7.89e-06,76469810.0
2018-01-24 15:59:59,7.9e-06,8.13e-06,7.63e-06,8.09e-06,8.09e-06,53707680.0
2018-01-24 16:59:59,8.1e-06,8.2e-06,7.91e-06,8.15e-06,8.15e-06,28705041.0
2018-01-24 17:59:59,8.14e-06,8.57e-06,8.07e-06,8.18e-06,8.18e-06,78526093.0
2018-01-24 18:59:59,8.18e-06,8.36e-06,7.93e-06,8.35e-06,8.35e-06,38653778.0
2018-01-24 19:59:59,8.36e-06,8.36e-06,8.1e-06,8.34e-06,8.34e-06,35184575.0
2018-01-24 20:59:59,8.33e-06,1.058e-05,8.31e-06,1.007e-05,1.007e-05,333074767.0
2018-01-24 21:59:59,1.009e-05,1.355e-05,9.92e-06,1.09e-05,1.09e-05,553280180.0
2018-01-24 22:59:59,1.087e-05,1.275e-05,1.028e-05,1.172e-05,1.172e-05,351977714.0
2018-01-24 23:59:59,1.172e-05,1.21e-05,1.081e-05,1.122e-05,1.122e-05,145514602.0
2018-01-25 00:59:59,1.122e-05,1.138e-05,1.036e-05,1.075e-05,1.075e-05,153964751.0
