Date,Open,High,Low,Close,Adj  Close,Volume 
2018-03-12 20:59:59,3.99e-06,4.8e-06,2.67e-06,3.04e-06,3.04e-06,1124260730.0
2018-03-13 20:59:59,3.04e-06,3.08e-06,2.61e-06,2.83e-06,2.83e-06,630989032.0
2018-03-14 20:59:59,2.83e-06,2.84e-06,2.34e-06,2.43e-06,2.43e-06,475802658.0
2018-03-15 20:59:59,2.44e-06,2.54e-06,2.23e-06,2.35e-06,2.35e-06,336704126.0
2018-03-16 20:59:59,2.34e-06,2.73e-06,2.27e-06,2.56e-06,2.56e-06,546436526.0
2018-03-17 20:59:59,2.57e-06,2.72e-06,2.38e-06,2.43e-06,2.43e-06,371940644.0
2018-03-18 20:59:59,2.43e-06,2.43e-06,2.1e-06,2.28e-06,2.28e-06,266236803.0
2018-03-19 20:59:59,2.28e-06,2.39e-06,2.21e-06,2.25e-06,2.25e-06,268368349.0
2018-03-20 20:59:59,2.25e-06,2.3e-06,2.14e-06,2.18e-06,2.18e-06,225082772.0
2018-03-21 20:59:59,2.17e-06,3.24e-06,2.14e-06,2.99e-06,2.99e-06,1322146572.0
2018-03-22 20:59:59,2.98e-06,3.4e-06,2.81e-06,2.87e-06,2.87e-06,775754816.0
2018-03-23 20:59:59,2.87e-06,9.35e-06,2.73e-06,7.59e-06,7.59e-06,5845578771.0
2018-03-24 20:59:59,7.6e-06,8.66e-06,5.94e-06,6.01e-06,6.01e-06,3062867771.0
2018-03-25 20:59:59,6.02e-06,6.64e-06,5.65e-06,6.28e-06,6.28e-06,538415602.0
2018-03-26 20:59:59,6.28e-06,6.29e-06,5.11e-06,5.48e-06,5.48e-06,209455610.0
2018-03-27 20:59:59,5.44e-06,5.5e-06,4.6e-06,4.83e-06,4.83e-06,239500911.0
2018-03-28 20:59:59,4.84e-06,6.38e-06,4.62e-06,5.2e-06,5.2e-06,1250697939.0
2018-03-29 20:59:59,5.2e-06,5.64e-06,4.91e-06,5.2e-06,5.2e-06,482544805.0
2018-03-30 20:59:59,5.21e-06,5.52e-06,5.09e-06,5.28e-06,5.28e-06,129779142.0
2018-03-31 20:59:59,5.27e-06,5.31e-06,4.76e-06,4.85e-06,4.85e-06,129123643.0
2018-04-01 20:59:59,4.85e-06,4.88e-06,4.23e-06,4.41e-06,4.41e-06,192937622.0
2018-04-02 20:59:59,4.41e-06,4.58e-06,4.07e-06,4.37e-06,4.37e-06,162624461.0
2018-04-03 20:59:59,4.38e-06,4.52e-06,4.1e-06,4.31e-06,4.31e-06,163164818.0
2018-04-04 20:59:59,4.3e-06,5.78e-06,4.11e-06,4.41e-06,4.41e-06,688485712.0
2018-04-05 20:59:59,4.41e-06,4.73e-06,4.07e-06,4.16e-06,4.16e-06,472236690.0
2018-04-06 20:59:59,4.16e-06,4.25e-06,3.84e-06,4.04e-06,4.04e-06,184010731.0
2018-04-07 20:59:59,4.03e-06,4.25e-06,3.94e-06,4.02e-06,4.02e-06,241009947.0
2018-04-08 20:59:59,4.02e-06,4.55e-06,3.95e-06,4.24e-06,4.24e-06,473376627.0
2018-04-09 20:59:59,4.23e-06,4.24e-06,4e-06,4.15e-06,4.15e-06,241685488.0
2018-04-10 20:59:59,4.15e-06,4.22e-06,4.07e-06,4.18e-06,4.18e-06,211997969.0
2018-04-11 20:59:59,4.18e-06,4.61e-06,4.14e-06,4.32e-06,4.32e-06,665849185.0
2018-04-12 20:59:59,4.32e-06,4.47e-06,3.92e-06,4.21e-06,4.21e-06,458102824.0
2018-04-13 20:59:59,4.21e-06,4.58e-06,4.14e-06,4.34e-06,4.34e-06,814472128.0
2018-04-14 20:59:59,4.34e-06,4.5e-06,4.22e-06,4.46e-06,4.46e-06,523588547.0
2018-04-15 20:59:59,4.46e-06,4.88e-06,4.42e-06,4.63e-06,4.63e-06,597803742.0
2018-04-16 20:59:59,4.63e-06,4.66e-06,4.35e-06,4.48e-06,4.48e-06,325241745.0
2018-04-17 20:59:59,4.48e-06,4.61e-06,4.36e-06,4.5e-06,4.5e-06,379434937.0
2018-04-18 20:59:59,4.5e-06,5.26e-06,4.44e-06,4.81e-06,4.81e-06,660958633.0
2018-04-19 20:59:59,4.8e-06,5.13e-06,4.73e-06,4.9e-06,4.9e-06,398012648.0
2018-04-20 20:59:59,4.9e-06,5.61e-06,4.81e-06,5.48e-06,5.48e-06,866346774.0
2018-04-21 20:59:59,5.48e-06,6.87e-06,5.45e-06,6.46e-06,6.46e-06,1617475240.0
2018-04-22 20:59:59,6.45e-06,6.75e-06,5.93e-06,5.99e-06,5.99e-06,581344239.0
2018-04-23 20:59:59,5.99e-06,6.32e-06,5.83e-06,6.27e-06,6.27e-06,314637272.0
2018-04-24 20:59:59,6.27e-06,7.22e-06,5.96e-06,6.66e-06,6.66e-06,593174287.0
2018-04-25 20:59:59,6.67e-06,7.76e-06,6.46e-06,7.24e-06,7.24e-06,952031039.0
2018-04-26 20:59:59,7.24e-06,7.33e-06,6.62e-06,7.12e-06,7.12e-06,469670716.0
2018-04-27 20:59:59,7.12e-06,7.37e-06,6.68e-06,6.96e-06,6.96e-06,291296893.0
2018-04-28 20:59:59,6.96e-06,7.36e-06,6.9e-06,7.16e-06,7.16e-06,292000454.0
2018-04-29 20:59:59,7.19e-06,7.46e-06,6.66e-06,7.14e-06,7.14e-06,366651849.0
2018-04-30 20:59:59,7.14e-06,7.6e-06,6.75e-06,7.1e-06,7.1e-06,518432805.0
2018-05-01 20:59:59,7.09e-06,7.24e-06,6.76e-06,7.17e-06,7.17e-06,327289871.0
2018-05-02 20:59:59,7.17e-06,7.42e-06,7.03e-06,7.23e-06,7.23e-06,380902085.0
2018-05-03 20:59:59,7.24e-06,7.3e-06,6.18e-06,6.53e-06,6.53e-06,412944522.0
2018-05-04 20:59:59,6.55e-06,6.91e-06,6.23e-06,6.4e-06,6.4e-06,221242741.0
2018-05-05 20:59:59,6.4e-06,6.54e-06,6.13e-06,6.34e-06,6.34e-06,137540477.0
2018-05-06 20:59:59,6.33e-06,6.49e-06,5.91e-06,6.11e-06,6.11e-06,122639683.0
2018-05-07 20:59:59,6.11e-06,6.13e-06,5.66e-06,5.98e-06,5.98e-06,170678290.0
2018-05-08 20:59:59,5.97e-06,6.11e-06,5.79e-06,5.94e-06,5.94e-06,180497085.0
2018-05-09 20:59:59,5.94e-06,5.95e-06,5.3e-06,5.57e-06,5.57e-06,154995794.0
2018-05-10 20:59:59,5.57e-06,5.64e-06,5.08e-06,5.17e-06,5.17e-06,175802066.0
2018-05-11 20:59:59,5.16e-06,5.25e-06,4.27e-06,4.74e-06,4.74e-06,350836167.0
2018-05-12 20:59:59,4.75e-06,5.1e-06,4.45e-06,4.78e-06,4.78e-06,248985168.0
2018-05-13 20:59:59,4.78e-06,5.34e-06,4.69e-06,5.16e-06,5.16e-06,307652538.0
2018-05-14 20:59:59,5.16e-06,5.49e-06,5.05e-06,5.09e-06,5.09e-06,245781220.0
2018-05-15 20:59:59,5.09e-06,6.39e-06,4.93e-06,5.56e-06,5.56e-06,877905261.0
2018-05-16 20:59:59,5.57e-06,5.57e-06,4.96e-06,5.25e-06,5.25e-06,362800631.0
2018-05-17 20:59:59,5.24e-06,5.79e-06,5.13e-06,5.38e-06,5.38e-06,393371453.0
2018-05-18 20:59:59,5.38e-06,5.99e-06,5.32e-06,5.46e-06,5.46e-06,448771314.0
