sentiment,text,user
"neutral","RT @Nadia__Rafiq: What is an #ICO? Blockchain Initial Coin Offering or Blockchain ICO \n\n#blockchain #bitcoin #cryptocurrency #smartcontract…","MarcHoulding"
"positive","RT @murthaburke: High Quality Seafood Shipped to You!! \nhttps://t.co/ijjot0U619 \n@worldportsfd \n#blockchain #cryptocurrency #crypto #ethere…","eunicemillard5"
"neutral","RT @SocialWalletInc: There are only four million #Bitcoin left to mind, what will happen next? https://t.co/sVxUXjDqAq #Bitcoin #btc #Ether…","jamesllmedlockk"
"positive","#bitcoinnews The Most Controversial Bitcoin Forks Yet Are Coming - https://t.co/ud3oJEtiNR  https://t.co/5vRByxWSp2","SebasDaniells"
"neutral","Bitcoin Cash Price Technical Analysis – BCH/USD Surged Above $1,500 https://t.co/oBozsxCqGV https://t.co/lPL5nStZy2","cryptograbber"
"positive","RT @VerthagOG: Goldman Sachs, perhaps the most storied name in finance, is bucking the risks and moving ahead with plans to set up what app…","rick_c88"
"neutral","RT @CryptoKingsLTD: 🔥Giveaway Of The Week🔥\nThis week we’re giving away a Bitcoin Hoodie. The winner can chose either the men’s or the ladie…","kerryx302"
"neutral","RT @madhubaladoncry: Donatebitcoin please \nAll cryptos accepted \nBTC 3EkXDyXEa9zA4kGWMxkvXBbmMmG9QPjLr3\nBCH qqax2nm8zh8vwu02xugqn4437yqwts6…","LitecoinUKs"
"neutral","Goldman Sachs to Begin Bitcoin Futures Trading Within Weeks: https://t.co/EuxWWjoXaR","AltCoinCalendar"
"positive","RT @birakecom: https://t.co/8P53gwBxxP #ICO -  Your own exchange! Twitter bounty campaign second phase details here!\nhttps://t.co/g42e80kQ0…","cryptoyears"
"neutral","RT @APompliano: Goldman Sachs is opening a Bitcoin trading operation.\n\nHello institutional capital 👋🏽\n\nBuckle up. I’m sticking with $50k BT…","adalquardz"
"positive","RT @olof_gustafsson: Dietbitcoin by Pablo Escobar's brother is selling out fast, buy it now at only $3.50 per coin before the price is rais…","clemencia2379wd"
"positive","RT @ImpressioLTD: It's perfect that our company's coin is the IMPR token, because we are constantly trying to IMPRove.  Let us know in the…","Mehedihassanm72"
"neutral","RT @ProducToken: MAY 1st -&gt; PROD token DAY!\n\nJoin The Industrial Revolution 4.0 and you receive 28% bonus when you buy PROD tokens NOW-&gt; ht…","AliAlcantara19"
"positive","RT @CoinsAirdrops: #Bitcoin #Satoshi #Earn_Money #cryptocurrency #blockchain #Airdrop\nNew Airdrop #Algorblock 📢\n\nAlgorblock is airdroping 4…","CoinsAirdrops"
"positive","Bitcoin Network Hashrate At All Time High Even Among Market Corrections https://t.co/G4QbSRqxEe via @Cointelegraph","tdybahamas"
"neutral","RT @barrysilbert: Phase 4 has officially begun\nhttps://t.co/GM4RaArnlE https://t.co/dqiSlETC3W","greylingj"
"neutral","RT @reitberg: 【Dietbitcoin】Fork of Bitcoin by Pablo Escobar's brother for only $3.50 per coin. https://t.co/J1UpweL4WI   deposit BTC now an…","brittanie0774zh"
"negative","RT @UserExperienceU: Such a pity that #Facebook is letting these Bitcoin Trader adverts run on peoples newsfeeds I wonder if they carry ind…","ronnibraude9"
"neutral","RT @ipfconline1: What is a Distributed Ledger? [Infographic]\n#Blockchain #SmartContract #Fintech #Bitcoin #Cryptocurrency #Ethereum #CyberS…","GDMSThinkIn"
