Date,Open,High,Low,Close,Adj  Close,Volume 
2018-02-26 07:59:59,1e-05,1e-05,3e-06,5.43e-06,5.43e-06,336859860.0
2018-02-26 08:29:59,5.48e-06,5.83e-06,4.68e-06,4.94e-06,4.94e-06,229227514.0
2018-02-26 08:59:59,4.94e-06,5.1e-06,4.4e-06,4.62e-06,4.62e-06,135729356.0
2018-02-26 09:29:59,4.62e-06,5.08e-06,4.59e-06,4.68e-06,4.68e-06,163469134.0
2018-02-26 09:59:59,4.66e-06,4.8e-06,4.3e-06,4.66e-06,4.66e-06,96004643.0
2018-02-26 10:29:59,4.67e-06,4.67e-06,4.26e-06,4.26e-06,4.26e-06,65682133.0
2018-02-26 10:59:59,4.28e-06,4.52e-06,4.26e-06,4.45e-06,4.45e-06,56836191.0
2018-02-26 11:29:59,4.46e-06,4.48e-06,4.2e-06,4.27e-06,4.27e-06,51326925.0
2018-02-26 11:59:59,4.26e-06,4.27e-06,3.76e-06,3.79e-06,3.79e-06,140616347.0
2018-02-26 12:29:59,3.79e-06,3.82e-06,3.21e-06,3.69e-06,3.69e-06,368661190.0
2018-02-26 12:59:59,3.69e-06,4.04e-06,3.62e-06,3.8e-06,3.8e-06,229314456.0
2018-02-26 13:29:59,3.8e-06,4.1e-06,3.79e-06,3.95e-06,3.95e-06,248465392.0
2018-02-26 13:59:59,3.95e-06,4e-06,3.57e-06,3.74e-06,3.74e-06,139863977.0
2018-02-26 14:29:59,3.74e-06,3.9e-06,3.68e-06,3.73e-06,3.73e-06,114268164.0
2018-02-26 14:59:59,3.74e-06,3.86e-06,3.73e-06,3.81e-06,3.81e-06,48279805.0
2018-02-26 15:29:59,3.81e-06,3.82e-06,3.64e-06,3.73e-06,3.73e-06,55840113.0
2018-02-26 15:59:59,3.74e-06,3.76e-06,3.7e-06,3.72e-06,3.72e-06,27317976.0
2018-02-26 16:29:59,3.73e-06,3.94e-06,3.69e-06,3.91e-06,3.91e-06,81735688.0
2018-02-26 16:59:59,3.9e-06,3.91e-06,3.78e-06,3.85e-06,3.85e-06,57262014.0
2018-02-26 17:29:59,3.85e-06,3.88e-06,3.78e-06,3.82e-06,3.82e-06,37754598.0
2018-02-26 17:59:59,3.82e-06,3.85e-06,3.75e-06,3.82e-06,3.82e-06,36080446.0
2018-02-26 18:29:59,3.82e-06,3.82e-06,3.76e-06,3.81e-06,3.81e-06,19233409.0
2018-02-26 18:59:59,3.81e-06,3.9e-06,3.8e-06,3.86e-06,3.86e-06,36020606.0
2018-02-26 19:29:59,3.87e-06,3.89e-06,3.83e-06,3.86e-06,3.86e-06,27278425.0
2018-02-26 19:59:59,3.88e-06,4.25e-06,3.86e-06,4.12e-06,4.12e-06,180336971.0
2018-02-26 20:29:59,4.12e-06,4.13e-06,3.96e-06,4.06e-06,4.06e-06,94248090.0
2018-02-26 20:59:59,4.06e-06,4.11e-06,3.96e-06,3.98e-06,3.98e-06,47186699.0
2018-02-26 21:29:59,3.98e-06,4.01e-06,3.88e-06,3.9e-06,3.9e-06,57309198.0
2018-02-26 21:59:59,3.9e-06,4.04e-06,3.84e-06,3.91e-06,3.91e-06,54648400.0
2018-02-26 22:29:59,3.91e-06,3.94e-06,3.87e-06,3.9e-06,3.9e-06,17724547.0
2018-02-26 22:59:59,3.9e-06,4.02e-06,3.89e-06,3.97e-06,3.97e-06,35360791.0
2018-02-26 23:29:59,3.97e-06,4.15e-06,3.94e-06,3.99e-06,3.99e-06,78806224.0
2018-02-26 23:59:59,3.98e-06,4.03e-06,3.89e-06,3.93e-06,3.93e-06,39310986.0
2018-02-27 00:29:59,3.93e-06,3.95e-06,3.85e-06,3.87e-06,3.87e-06,29043767.0
2018-02-27 00:59:59,3.86e-06,3.95e-06,3.84e-06,3.91e-06,3.91e-06,34938543.0
2018-02-27 01:29:59,3.91e-06,3.91e-06,3.84e-06,3.85e-06,3.85e-06,28988556.0
2018-02-27 01:59:59,3.86e-06,3.93e-06,3.82e-06,3.89e-06,3.89e-06,17181433.0
2018-02-27 02:29:59,3.89e-06,3.93e-06,3.88e-06,3.9e-06,3.9e-06,15533825.0
2018-02-27 02:59:59,3.9e-06,3.91e-06,3.84e-06,3.85e-06,3.85e-06,13903240.0
2018-02-27 03:29:59,3.86e-06,3.9e-06,3.85e-06,3.87e-06,3.87e-06,11255456.0
2018-02-27 03:59:59,3.87e-06,3.88e-06,3.74e-06,3.77e-06,3.77e-06,32167428.0
2018-02-27 04:29:59,3.76e-06,3.82e-06,3.63e-06,3.72e-06,3.72e-06,47447708.0
2018-02-27 04:59:59,3.72e-06,3.75e-06,3.56e-06,3.6e-06,3.6e-06,34992495.0
2018-02-27 05:29:59,3.6e-06,3.68e-06,3.56e-06,3.67e-06,3.67e-06,27002891.0
2018-02-27 05:59:59,3.66e-06,3.68e-06,3.59e-06,3.65e-06,3.65e-06,15015010.0
2018-02-27 06:29:59,3.65e-06,3.67e-06,3.43e-06,3.49e-06,3.49e-06,43315746.0
2018-02-27 06:59:59,3.49e-06,3.56e-06,3.49e-06,3.5e-06,3.5e-06,33670404.0
2018-02-27 07:29:59,3.5e-06,3.57e-06,3.44e-06,3.48e-06,3.48e-06,45557831.0
2018-02-27 07:59:59,3.48e-06,3.51e-06,3.38e-06,3.41e-06,3.41e-06,34624317.0
2018-02-27 08:29:59,3.41e-06,3.43e-06,3.25e-06,3.29e-06,3.29e-06,64957863.0
