Date,Open,High,Low,Close,Adj  Close,Volume 
2017-11-20 08:29:59,6.8e-07,1.7e-06,6.8e-07,1.33e-06,1.33e-06,8424076.0
2017-11-20 08:59:59,1.33e-06,1.66e-06,1.03e-06,1.05e-06,1.05e-06,41296455.0
2017-11-20 09:29:59,1.06e-06,1.22e-06,1.05e-06,1.14e-06,1.14e-06,18596958.0
2017-11-20 09:59:59,1.14e-06,1.14e-06,9.7e-07,9.9e-07,9.9e-07,7951261.0
2017-11-20 10:29:59,9.8e-07,1.1e-06,8.5e-07,1.01e-06,1.01e-06,19475028.0
2017-11-20 10:59:59,1.02e-06,1.08e-06,9.7e-07,1.07e-06,1.07e-06,6677220.0
2017-11-20 11:29:59,1.06e-06,1.08e-06,1e-06,1.07e-06,1.07e-06,3158570.0
2017-11-20 11:59:59,1.06e-06,1.08e-06,1e-06,1.04e-06,1.04e-06,5045141.0
2017-11-20 12:29:59,1.03e-06,1.05e-06,9.9e-07,1.03e-06,1.03e-06,4837201.0
2017-11-20 12:59:59,1.03e-06,1.04e-06,1e-06,1.03e-06,1.03e-06,1931762.0
2017-11-20 13:29:59,1.04e-06,1.04e-06,1.03e-06,1.04e-06,1.04e-06,2478545.0
2017-11-20 13:59:59,1.03e-06,1.04e-06,9.7e-07,9.9e-07,9.9e-07,2132914.0
2017-11-20 14:29:59,1.02e-06,1.02e-06,9.8e-07,1e-06,1e-06,1313306.0
2017-11-20 14:59:59,9.9e-07,1.01e-06,9.7e-07,1e-06,1e-06,5600138.0
2017-11-20 15:29:59,1.01e-06,1.01e-06,9.6e-07,9.7e-07,9.7e-07,2009005.0
2017-11-20 15:59:59,9.8e-07,1.02e-06,9.7e-07,9.8e-07,9.8e-07,541171.0
2017-11-20 16:29:59,1e-06,1.04e-06,1e-06,1.04e-06,1.04e-06,1289237.0
2017-11-20 16:59:59,1.01e-06,1.04e-06,1.01e-06,1.03e-06,1.03e-06,430460.0
2017-11-20 17:29:59,1.03e-06,1.05e-06,9.7e-07,9.9e-07,9.9e-07,1755550.0
2017-11-20 17:59:59,1e-06,1.02e-06,9.8e-07,1.01e-06,1.01e-06,474122.0
2017-11-20 18:29:59,1.01e-06,1.01e-06,1e-06,1.01e-06,1.01e-06,270608.0
2017-11-20 18:59:59,1.01e-06,1.1e-06,1e-06,1.08e-06,1.08e-06,5364222.0
2017-11-20 19:29:59,1.08e-06,1.08e-06,1.01e-06,1.04e-06,1.04e-06,1835102.0
2017-11-20 19:59:59,1.03e-06,1.04e-06,9.8e-07,9.8e-07,9.8e-07,1072472.0
2017-11-20 20:29:59,9.8e-07,1.01e-06,9.5e-07,1e-06,1e-06,3039766.0
2017-11-20 20:59:59,1e-06,1e-06,9.5e-07,9.5e-07,9.5e-07,846940.0
2017-11-20 21:29:59,9.6e-07,1e-06,9.5e-07,1e-06,1e-06,1341216.0
2017-11-20 21:59:59,9.8e-07,9.9e-07,9.3e-07,9.8e-07,9.8e-07,1279251.0
2017-11-20 22:29:59,9.7e-07,9.7e-07,9.4e-07,9.6e-07,9.6e-07,1525121.0
2017-11-20 22:59:59,9.6e-07,1e-06,9.5e-07,9.7e-07,9.7e-07,2592909.0
2017-11-20 23:29:59,9.8e-07,9.8e-07,9.6e-07,9.6e-07,9.6e-07,1138834.0
2017-11-20 23:59:59,9.6e-07,9.9e-07,9.6e-07,9.9e-07,9.9e-07,1042690.0
2017-11-21 00:29:59,9.9e-07,1e-06,9.6e-07,9.6e-07,9.6e-07,1624535.0
2017-11-21 00:59:59,9.7e-07,9.7e-07,8.4e-07,8.5e-07,8.5e-07,6380370.0
2017-11-21 01:29:59,8.4e-07,9.9e-07,8.3e-07,9.2e-07,9.2e-07,5824356.0
