Date,Open,High,Low,Close,Adj  Close,Volume 
2018-03-05 03:59:59,6.46e-06,7.5e-06,4.9e-06,5.19e-06,5.19e-06,65882811.0
2018-03-05 04:59:59,5.2e-06,5.22e-06,4.77e-06,4.9e-06,4.9e-06,34548644.0
2018-03-05 05:59:59,4.9e-06,5.32e-06,4.83e-06,5.21e-06,5.21e-06,30144349.0
2018-03-05 06:59:59,5.23e-06,5.27e-06,5.1e-06,5.23e-06,5.23e-06,10686719.0
2018-03-05 07:59:59,5.23e-06,5.27e-06,5e-06,5.06e-06,5.06e-06,12502733.0
2018-03-05 08:59:59,5.05e-06,5.08e-06,4.95e-06,5e-06,5e-06,7685385.0
2018-03-05 09:59:59,5.01e-06,5.04e-06,4.91e-06,4.95e-06,4.95e-06,5806541.0
2018-03-05 10:59:59,4.95e-06,5.1e-06,4.81e-06,5.04e-06,5.04e-06,11744661.0
2018-03-05 11:59:59,5.07e-06,5.19e-06,4.96e-06,5.17e-06,5.17e-06,16096643.0
2018-03-05 12:59:59,5.15e-06,5.17e-06,5.01e-06,5.09e-06,5.09e-06,5819200.0
2018-03-05 13:59:59,5.09e-06,5.33e-06,5.04e-06,5.17e-06,5.17e-06,22902702.0
2018-03-05 14:59:59,5.18e-06,5.18e-06,5.01e-06,5.12e-06,5.12e-06,7771382.0
2018-03-05 15:59:59,5.11e-06,5.19e-06,4.95e-06,5.04e-06,5.04e-06,10053353.0
2018-03-05 16:59:59,5.01e-06,5.1e-06,4.88e-06,4.99e-06,4.99e-06,8625038.0
2018-03-05 17:59:59,4.99e-06,5.04e-06,4.86e-06,4.96e-06,4.96e-06,5640165.0
2018-03-05 18:59:59,4.96e-06,4.97e-06,4.83e-06,4.85e-06,4.85e-06,5617592.0
2018-03-05 19:59:59,4.85e-06,4.85e-06,4.56e-06,4.59e-06,4.59e-06,7699665.0
2018-03-05 20:59:59,4.59e-06,4.65e-06,4.54e-06,4.6e-06,4.6e-06,6577107.0
2018-03-05 21:59:59,4.6e-06,4.62e-06,4.41e-06,4.42e-06,4.42e-06,10266328.0
2018-03-05 22:59:59,4.41e-06,4.95e-06,4.22e-06,4.78e-06,4.78e-06,27589063.0
2018-03-05 23:59:59,4.8e-06,4.87e-06,4.52e-06,4.69e-06,4.69e-06,10556772.0
2018-03-06 00:59:59,4.69e-06,4.94e-06,4.32e-06,4.72e-06,4.72e-06,9182727.0
2018-03-06 01:59:59,4.72e-06,4.73e-06,4.62e-06,4.66e-06,4.66e-06,4041604.0
2018-03-06 02:59:59,4.66e-06,4.8e-06,4.57e-06,4.71e-06,4.71e-06,5217979.0
2018-03-06 03:59:59,4.71e-06,4.71e-06,4.6e-06,4.6e-06,4.6e-06,3556273.0
2018-03-06 04:59:59,4.64e-06,4.64e-06,4.51e-06,4.59e-06,4.59e-06,3411624.0
2018-03-06 05:59:59,4.59e-06,4.66e-06,4.55e-06,4.63e-06,4.63e-06,3409191.0
2018-03-06 06:59:59,4.63e-06,4.64e-06,4.57e-06,4.59e-06,4.59e-06,1005251.0
2018-03-06 07:59:59,4.59e-06,4.63e-06,4.49e-06,4.5e-06,4.5e-06,4261702.0
2018-03-06 08:59:59,4.5e-06,4.53e-06,4.43e-06,4.5e-06,4.5e-06,2617411.0
2018-03-06 09:59:59,4.49e-06,4.54e-06,4.47e-06,4.51e-06,4.51e-06,1203619.0
2018-03-06 10:59:59,4.51e-06,4.55e-06,4.49e-06,4.51e-06,4.51e-06,1622488.0
2018-03-06 11:59:59,4.5e-06,4.59e-06,4.45e-06,4.47e-06,4.47e-06,3148188.0
2018-03-06 12:59:59,4.47e-06,4.5e-06,4.29e-06,4.42e-06,4.42e-06,11351730.0
2018-03-06 13:59:59,4.42e-06,4.43e-06,4.27e-06,4.3e-06,4.3e-06,5390872.0
2018-03-06 14:59:59,4.3e-06,4.41e-06,4.28e-06,4.38e-06,4.38e-06,4057325.0
2018-03-06 15:59:59,4.38e-06,4.51e-06,4.35e-06,4.41e-06,4.41e-06,3875189.0
2018-03-06 16:59:59,4.41e-06,4.6e-06,4.41e-06,4.5e-06,4.5e-06,4244285.0
2018-03-06 17:59:59,4.49e-06,4.54e-06,4.4e-06,4.42e-06,4.42e-06,2119763.0
2018-03-06 18:59:59,4.42e-06,4.47e-06,4.36e-06,4.39e-06,4.39e-06,1592758.0
2018-03-06 19:59:59,4.4e-06,4.41e-06,4.32e-06,4.36e-06,4.36e-06,2039209.0
2018-03-06 20:59:59,4.36e-06,4.43e-06,4.34e-06,4.38e-06,4.38e-06,1302589.0
2018-03-06 21:59:59,4.37e-06,4.4e-06,4.27e-06,4.4e-06,4.4e-06,2448606.0
2018-03-06 22:59:59,4.4e-06,4.49e-06,4.39e-06,4.41e-06,4.41e-06,2624201.0
2018-03-06 23:59:59,4.39e-06,4.54e-06,4.36e-06,4.52e-06,4.52e-06,2857389.0
2018-03-07 00:59:59,4.52e-06,4.52e-06,4.36e-06,4.43e-06,4.43e-06,2656176.0
2018-03-07 01:59:59,4.45e-06,4.48e-06,4.43e-06,4.45e-06,4.45e-06,515152.0
2018-03-07 02:59:59,4.45e-06,4.49e-06,4.42e-06,4.45e-06,4.45e-06,965600.0
2018-03-07 03:59:59,4.45e-06,4.46e-06,4.37e-06,4.39e-06,4.39e-06,1832336.0
2018-03-07 04:59:59,4.4e-06,4.43e-06,4.33e-06,4.35e-06,4.35e-06,1437061.0
2018-03-07 05:59:59,4.35e-06,4.52e-06,4.33e-06,4.34e-06,4.34e-06,2774654.0
2018-03-07 06:59:59,4.35e-06,4.36e-06,4.3e-06,4.31e-06,4.31e-06,785159.0
2018-03-07 07:59:59,4.3e-06,4.33e-06,4.27e-06,4.29e-06,4.29e-06,1098743.0
2018-03-07 08:59:59,4.3e-06,4.31e-06,4.26e-06,4.28e-06,4.28e-06,801252.0
2018-03-07 09:59:59,4.28e-06,4.44e-06,4.25e-06,4.42e-06,4.42e-06,2818383.0
2018-03-07 10:59:59,4.42e-06,4.45e-06,4.27e-06,4.29e-06,4.29e-06,3333774.0
2018-03-07 11:59:59,4.29e-06,4.45e-06,4.05e-06,4.1e-06,4.1e-06,11575845.0
2018-03-07 12:59:59,4.1e-06,4.18e-06,3.95e-06,4.09e-06,4.09e-06,9699710.0
2018-03-07 13:59:59,4.08e-06,4.09e-06,3.88e-06,3.91e-06,3.91e-06,7999560.0
2018-03-07 14:59:59,3.93e-06,4.02e-06,3.8e-06,3.94e-06,3.94e-06,7284039.0
2018-03-07 15:59:59,3.93e-06,4.12e-06,3.9e-06,4.12e-06,4.12e-06,4119160.0
2018-03-07 16:59:59,4.11e-06,4.36e-06,4.07e-06,4.22e-06,4.22e-06,5169231.0
2018-03-07 17:59:59,4.24e-06,4.32e-06,4.22e-06,4.28e-06,4.28e-06,1936231.0
2018-03-07 18:59:59,4.28e-06,4.31e-06,4.17e-06,4.21e-06,4.21e-06,1936009.0
2018-03-07 19:59:59,4.21e-06,4.35e-06,4.13e-06,4.24e-06,4.24e-06,3596547.0
2018-03-07 20:59:59,4.25e-06,4.38e-06,4.13e-06,4.2e-06,4.2e-06,2292914.0
