buy_value,sell_value,quantity,buy_wallet,sell_wallet,date_open,date_close,,,,,,,date_open,date_close
8086.02,8086.02,0.00012367,0.0000001,0.99999819,11/21/17 1:00 AM,11/21/17 1:00 AM,,,,,,,1.51124E+12,1.51124E+12
8208,8208,0.00012183,0.0000001,0.99998074,11/22/17 8:00 PM,11/22/17 8:00 PM,,,,,,,1.5114E+12,1.5114E+12
8113.45,8113.45,0.00012325,0.0000001,0.99998281,11/23/17 6:00 AM,11/23/17 6:00 AM,,,,,,,1.51143E+12,1.51143E+12
8139.81,8139.81,0.00012285,0.0000001,0.99997576,11/23/17 8:00 AM,11/23/17 8:00 AM,,,,,,,1.51144E+12,1.51144E+12
8164.95,8164.95,0.00012247,0.0000001,0.99996153,11/23/17 9:00 AM,11/23/17 9:00 AM,,,,,,,1.51145E+12,1.51145E+12
7937.96,7937.96,0.00012598,0.0000001,1.0000243,11/23/17 9:00 PM,11/23/17 9:00 PM,,,,,,,1.51149E+12,1.51149E+12
8050.01,8050.01,0.00012422,0.0000001,0.99997234,11/23/17 10:00 PM,11/23/17 10:00 PM,,,,,,,1.51149E+12,1.51149E+12
8115.88,8115.88,0.00012322,0.0000001,1.00003883,11/23/17 11:00 PM,11/23/17 11:00 PM,,,,,,,1.5115E+12,1.5115E+12
9884.5,9884.5,0.00010117,0.0000001,1.00001497,11/29/17 5:00 PM,11/29/17 5:00 PM,,,,,,,1.51199E+12,1.51199E+12
11165.41,11165.41,0.00008956,0.0000001,0.99997422,12/3/17 7:00 PM,12/3/17 7:00 PM,,,,,,,1.51235E+12,1.51235E+12
11232.71,11232.71,0.00008903,0.0000001,1.00004827,12/3/17 8:00 PM,12/3/17 8:00 PM,,,,,,,1.51235E+12,1.51235E+12
15020.55,15020.55,0.00006658,0.0000001,1.00006832,12/8/17 9:00 AM,12/8/17 9:00 AM,,,,,,,1.51274E+12,1.51274E+12
14700.01,14700.01,0.00006803,0.0000001,1.00004178,12/9/17 7:00 AM,12/9/17 7:00 AM,,,,,,,1.51282E+12,1.51282E+12
14658.98,14658.98,0.00006822,0.0000001,1.00003572,12/9/17 8:00 AM,12/9/17 8:00 AM,,,,,,,1.51282E+12,1.51282E+12
14954.32,14954.32,0.00006687,0.0000001,0.99999548,12/9/17 9:00 AM,12/9/17 9:00 AM,,,,,,,1.51283E+12,1.51283E+12
14096.04,14096.04,0.00007094,0.0000001,0.99997318,12/9/17 2:00 PM,12/9/17 2:00 PM,,,,,,,1.51285E+12,1.51285E+12
13908,13908,0.0000719,0.0000001,0.9999853,12/9/17 3:00 PM,12/9/17 3:00 PM,,,,,,,1.51285E+12,1.51285E+12
13721.02,13721.02,0.00007288,0.0000001,0.99998804,12/10/17 2:00 AM,12/10/17 2:00 AM,,,,,,,1.51289E+12,1.51289E+12
16310.54,16310.54,0.00006131,0.0000001,0.99999931,12/12/17 1:00 PM,12/12/17 1:00 PM,,,,,,,1.5131E+12,1.5131E+12
15750.51,15750.51,0.00006349,0.0000001,0.99999998,12/13/17 12:00 AM,12/13/17 12:00 AM,,,,,,,1.51314E+12,1.51314E+12
16151.61,16151.61,0.00006191,0.0000001,0.99994628,12/13/17 1:00 AM,12/13/17 1:00 AM,,,,,,,1.51314E+12,1.51314E+12
